using 'using'	 [StartOfLine]	Loc=<fabnacci.cpp:2:1>
namespace 'namespace'	 [LeadingSpace]	Loc=<fabnacci.cpp:2:7>
identifier 'std'	 [LeadingSpace]	Loc=<fabnacci.cpp:2:17>
semi ';'		Loc=<fabnacci.cpp:2:20>
int 'int'	 [StartOfLine]	Loc=<fabnacci.cpp:4:1>
identifier 'main'	 [LeadingSpace]	Loc=<fabnacci.cpp:4:5>
l_paren '('		Loc=<fabnacci.cpp:4:9>
r_paren ')'		Loc=<fabnacci.cpp:4:10>
l_brace '{'	 [StartOfLine]	Loc=<fabnacci.cpp:5:1>
int 'int'	 [StartOfLine] [LeadingSpace]	Loc=<fabnacci.cpp:7:5>
identifier 'a'	 [LeadingSpace]	Loc=<fabnacci.cpp:7:9>
comma ','		Loc=<fabnacci.cpp:7:10>
identifier 'b'	 [LeadingSpace]	Loc=<fabnacci.cpp:7:12>
comma ','		Loc=<fabnacci.cpp:7:13>
identifier 'i'	 [LeadingSpace]	Loc=<fabnacci.cpp:7:15>
comma ','		Loc=<fabnacci.cpp:7:16>
identifier 't'	 [LeadingSpace]	Loc=<fabnacci.cpp:7:18>
comma ','		Loc=<fabnacci.cpp:7:19>
identifier 'n'	 [LeadingSpace]	Loc=<fabnacci.cpp:7:21>
semi ';'		Loc=<fabnacci.cpp:7:22>
identifier 'a'	 [StartOfLine] [LeadingSpace]	Loc=<fabnacci.cpp:8:5>
equal '='	 [LeadingSpace]	Loc=<fabnacci.cpp:8:7>
numeric_constant '0'	 [LeadingSpace]	Loc=<fabnacci.cpp:8:9>
semi ';'		Loc=<fabnacci.cpp:8:10>
identifier 'b'	 [StartOfLine] [LeadingSpace]	Loc=<fabnacci.cpp:9:5>
equal '='	 [LeadingSpace]	Loc=<fabnacci.cpp:9:7>
numeric_constant '1'	 [LeadingSpace]	Loc=<fabnacci.cpp:9:9>
semi ';'		Loc=<fabnacci.cpp:9:10>
identifier 'i'	 [StartOfLine] [LeadingSpace]	Loc=<fabnacci.cpp:10:5>
equal '='	 [LeadingSpace]	Loc=<fabnacci.cpp:10:7>
numeric_constant '1'	 [LeadingSpace]	Loc=<fabnacci.cpp:10:9>
semi ';'		Loc=<fabnacci.cpp:10:10>
